lake,ecotype,group,id,sex,group.loc.sex,mass,length,ventricle.mg,liver.g,per.red.muscle,WMprotein20x,COX.wm,COX.wm.prot,CS.wm,CS.wm.prot,MDH.wm,MDH.wm.prot,CPK.wm,CPK.wm.prot,PGI.wm,PGI.wm.prot,PFK.wm,PFK.wm.prot,TPI.wm,TPI.wm.prot,PK.wm,PK.wm.prot,LDH.wm,LDH.wm.prot,WMprotein10x,ActiveGPase,ActiveGPase.protein,TotalGPase,TotalGPase.protein,ActiveGSase,ActiveGSase.protein,TotalGSase,TotalGSase.protein,GPDH,GPDH.protein,ProteinLiv.20x,COX.liv,COX.liv.prot,HOAD.liv,HOAD.liv.prot,CS.liv,CS.liv.prot,MDH.liv,MDH.liv.prot,CPK.liv,CPK.liv.prot,PGI.liv,PGI.liv.prot,PFK.liv,PFK.liv.prot,TPI.liv,TPI.liv.prot,ADL.liv,ADL.liv.prot,GAPDH.liv,GAPDH.liv.prot,PK.liv,PK.liv.prot,LDH.liv,LDH.liv.prot,Notes.SampleQuality,Notes.EcotypeClassification,Notes.other,Labels.Notes
cliff,dwarf,cd,CD1,F,cd-female,152.2,25,,1.37,3.794,102.96,1.25,0.012140637,1.019117647,0.00989819,19.1607717,0.186099181,1003.247588,9.744051943,188.3601286,1.829449578,38.70042872,0.37587829,2913.086817,28.293384,273.4047874,2.655446653,200.0604502,1.943089066,76.19,3.15,0.041344008,17.62,0.231263945,0.15,0.001968762,2.77,0.036356477,11.53,0.151332196,155.96,5.17,0.033149526,1.2,0.0077,3.16,0.0203,105.09,0.674,236.42,1.52,38.36,0.2459,1.15,0.0073,406.14,2.6,4.68,0.03,14.11,0.09,1.76,0.0113,16.46,0.105542768,,,,"#WMprotein20x - protein per gram tissue in 20x homogenates. These homogenates were used to measure all liver enzymes and white muscle COX, CS, MDH, CPK, PGI, PFK, TPI, ALD, GAPDH, PK, LDH "
cliff,dwarf,cd,CD10,F,cd-female,133.1,24.6,100,1.25,2.722,111.88,1.14,0.010189489,2.048529412,0.018310059,18.93344051,0.169229894,1288.006431,11.51239213,216.505895,1.935161736,27.49624866,0.24576554,3041.907824,27.18902238,279.6913183,2.499922402,185.8263666,1.66094357,99.82,3.19,0.031957524,18.89,0.189240633,0.1,0.001001803,1.95,0.019535163,19.11,0.1914446,125.64,6.1,0.048551417,1.81,0.0144,3.44,0.0274,75.64,0.602,206.54,1.64,30.98,0.2465,1.18,0.0094,524.21,4.17,4.84,0.0385,15.52,0.124,2.03,0.0161,15.92,0.126728641,,,,"#WMprotein10x - protein per gram tissue in 10x homogenates. These homogenates were used to measure GPase, GSase, and GPDH in white muscle."
cliff,dwarf,cd,CD11,M,cd-male,147.3,24.7,100,1.37,4.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,# EnzymeAbbreviation.wm - activity per gram tissue in white muscle
cliff,dwarf,cd,CD12,M,cd-male,117.5,22.4,80,0.76,2.097,146.8,1.87,0.01273842,1.780882353,0.012131351,16.07989282,0.109536055,1305.056806,8.890032738,221.2690247,1.507282185,16.58435155,0.112972422,3918.756699,26.69452792,322.6295105,2.197748709,204.3729904,1.392186583,,,,,,,,,,,,153.76,7.9,0.051378772,1.59,0.0104,3.96,0.0258,102.85,0.669,259.71,1.69,27.82,0.1809,0.96,0.0062,568.49,3.7,6.36,0.0413,15.55,0.101,1.22,0.0079,13.85,0.090057667,Freshly dead when sampled,,,# EnzymeAbbreviation.liv - activity per gram tissue in liver
cliff,dwarf,cd,CD13,M,cd-male,151.8,24.3,110,1.03,4.357,107.72,1.01,0.00937616,1.588382353,0.014745473,19.19517685,0.178195106,1085.889603,10.08066843,494.7106109,4.592560443,33.77491961,0.313543628,3702.250804,34.36920538,324.645945,3.013794514,261.4623794,2.427240804,103.34,2.47,0.023901684,16.06,0.155409328,0.16,0.001548287,1.97,0.019063286,17.62,0.170505129,182.92,7.16,0.039142795,1.34,0.0073,4.42,0.0242,138.82,0.759,1109.15,6.06,40.1,0.2192,1.2,0.0066,605.11,3.31,8.05,0.044,15.98,0.087,3.54,0.0193,23.93,0.130804112,Freshly dead when sampled,,,# EnzymeAbbreviation.wm.prot - activity per mg protein in white muscle
cliff,dwarf,cd,CD14,M,cd-male,111.9,22.1,70,0.74,2.775,147.84,2.27,0.015354437,1.544117647,0.010444519,24.04297964,0.16262838,987.6473741,6.680515247,191.607717,1.296047869,29.37984995,0.19872734,3345.016077,22.62592043,309.5819936,2.094034048,195.4598071,1.322103674,88.12,3.86,0.043803904,15.34,0.174080799,0.29,0.003290967,1.94,0.022015433,14.17,0.16080345,133.4,6.49,0.048650675,,,3.95,0.0296,58.24,0.437,487.78,3.66,30.24,0.2267,1.28,0.0096,276.59,2.07,6.18,0.0463,14.17,0.106,,,9.41,0.07054672,Freshly dead when sampled,,,# EnzymeAbbreviation.liv.prot - activity per mg protein in liver
cliff,dwarf,cd,CD15,F,cd-female,136.2,24.5,90,1.14,4.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,# ventricle.mg - ventricle mass in milligrams
cliff,dwarf,cd,CD16,F,cd-female,160.4,24.8,,1.2,3.774,78.88,1.11,0.014072008,1.349558824,0.017109011,22.45166131,0.284630595,839.335477,10.64066274,188.3601286,2.387932665,44.01564845,0.558007714,3393.729904,43.02395923,289.4176492,3.669087845,201.7620579,2.55783542,86.42,2.21,0.025572784,15.59,0.180398056,0.07,0.000809998,2.37,0.027424207,13.79,0.159569544,129.96,6.98,0.053708833,1.73,0.0133,3.63,0.028,88.97,0.685,52.73,0.41,36.76,0.2828,2.05,0.0158,695.31,5.35,6.63,0.051,20.88,0.161,1.83,0.0141,22.72,0.174849249,,,,#liver.g - liver mass in grams
cliff,dwarf,cd,CD17,F,cd-female,111.2,21.9,70,0.97,,164.2,2.83,0.017235079,2.913235294,0.017741993,20.13504823,0.122625141,1079.271168,6.572906017,269.5498392,1.641594636,38.52722401,0.234635956,4873.547696,29.68055844,365.8049303,2.227801037,243.9871383,1.485914362,74.86,1.52,0.020304569,15.63,0.208789741,0.09,0.001202244,2.67,0.035666578,15.53,0.207453914,111.44,6.88,0.061737258,1.02,0.0091,3.81,0.0342,81.32,0.73,175.78,1.58,28.81,0.2585,1.35,0.0121,538.42,4.83,7.05,0.0633,18.14,0.163,1.13,0.0102,12.24,0.109845276,,,,# per.red.muscle - percentage red muscle measured in muscle steak
cliff,dwarf,cd,CD18,F,cd-female,119.3,22.6,90,1.44,,150,2.06,0.013733333,2.057794118,0.013718627,8.930868167,0.059539121,1183.858521,7.89239014,239.2390139,1.594926759,22.51661308,0.150110754,3626.473741,24.17649161,350.5156127,2.336770751,241.7363344,1.611575563,,,,,,,,,,,,155.32,6.35,0.040883338,1.6,0.0103,4.22,0.0272,103.62,0.667,219.72,1.41,38.59,0.2484,1.18,0.0076,446.59,2.88,6.71,0.0432,17.57,0.113,0.74,0.0048,17.76,0.114361969,,,,
